city_grouped,artist,tidal_count,hiphop_count,top10k_count,complex_count,billboard_count,total_count
nyc,nicki minaj,33.0,9.0,55.0,1.0,469.0,567.0
nyc,cardi b,1.0,9.0,19.0,1.0,280.0,310.0
los angeles,doja cat,0.0,1.0,38.0,0.0,210.0,249.0
houston,megan thee stallion,0.0,5.0,34.0,1.0,181.0,221.0
portsmouth,missy elliott,10.0,0.0,0.0,0.0,0.0,10.0
atlanta,latto,0.0,5.0,3.0,1.0,0.0,9.0
nyc,ice spice,0.0,7.0,0.0,1.0,0.0,8.0
chicago,da brat,8.0,0.0,0.0,0.0,0.0,8.0
philadelphia,eve,6.0,0.0,0.0,0.0,0.0,6.0
nyc,lil' kim,5.0,0.0,0.0,0.0,0.0,5.0
sydney,iggy azalea,5.0,0.0,0.0,0.0,0.0,5.0
hackensack,coi leray,0.0,5.0,0.0,0.0,0.0,5.0
nyc,foxy brown,3.0,0.0,0.0,0.0,0.0,3.0
miami,trina,3.0,0.0,0.0,0.0,0.0,3.0
memphis,glorilla,0.0,1.0,0.0,1.0,0.0,2.0
nyc,lil mama,2.0,0.0,0.0,0.0,0.0,2.0
new orleans,toya,2.0,0.0,0.0,0.0,0.0,2.0
nyc,scar lip,0.0,0.0,0.0,1.0,0.0,1.0
nyc,young m.a,1.0,0.0,0.0,0.0,0.0,1.0
nyc,maiya the don,0.0,0.0,0.0,1.0,0.0,1.0
nyc,lola brooke,0.0,0.0,0.0,1.0,0.0,1.0
philadelphia,lay bankz,0.0,0.0,0.0,1.0,0.0,1.0
nyc,kenzo b,0.0,0.0,0.0,1.0,0.0,1.0
philadelphia,tierra whack,0.0,0.0,0.0,1.0,0.0,1.0
nyc,remy ma,1.0,0.0,0.0,0.0,0.0,1.0
atlanta,baby tate,0.0,0.0,0.0,1.0,0.0,1.0
nyc,angie martinez,1.0,0.0,0.0,0.0,0.0,1.0
atlanta,bktherula,0.0,0.0,0.0,1.0,0.0,1.0
miami,city girls,0.0,0.0,0.0,1.0,0.0,1.0
memphis,slimeroni,0.0,0.0,0.0,1.0,0.0,1.0
memphis,k carbon,0.0,0.0,0.0,1.0,0.0,1.0
memphis,gloss up,0.0,0.0,0.0,1.0,0.0,1.0
london,little simz,0.0,0.0,0.0,1.0,0.0,1.0
london,ivorian doll,0.0,0.0,0.0,1.0,0.0,1.0
houston,monaleo,0.0,0.0,0.0,1.0,0.0,1.0
houston,kentheman,0.0,0.0,0.0,1.0,0.0,1.0
detroit,kash doll,0.0,0.0,0.0,1.0,0.0,1.0
chicago,mello buckzz,0.0,0.0,0.0,1.0,0.0,1.0
atlanta,lakeyah,0.0,0.0,0.0,1.0,0.0,1.0
atlanta,kali,0.0,0.0,0.0,1.0,0.0,1.0
miami,mellow rackz,0.0,0.0,0.0,1.0,0.0,1.0
